,RecipeID,calories,carbohydrate,protein,fat,sugar,sodium
0,"[198, 14, 19, 11, 70]",516.02,91.42,21.59,7.1,5.42,1195.1799999999998
1,"[135, 34, 41, 19, 55]",506.88,73.74000000000001,23.060000000000002,13.3,12.549999999999999,1247.71
2,"[138, 111, 41, 2, 26]",733.31,96.28,31.180000000000003,24.789999999999996,12.200000000000001,1496.8600000000001
3,"[197, 69, 34, 13, 51]",480.46,83.57000000000001,26.4,4.5,6.629999999999999,1254.16
4,"[131, 57, 9, 11, 165]",662.2099999999999,122.87,23.93,8.12,11.389999999999999,1497.32
5,"[190, 115, 34, 25, 48]",640.43,100.9,21.16,16.919999999999998,5.200000000000001,1284.53
6,"[139, 32, 9, 20, 119]",581.16,108.17999999999999,22.54,6.17,19.18,1131.5
7,"[64, 85, 55, 18, 38]",587.63,110.97999999999999,15.64,9.03,10.689999999999998,1184.58
8,"[54, 32, 28, 21, 151]",565.74,99.87,15.26,11.780000000000001,17.349999999999998,1273.04
9,"[122, 70, 34, 9, 179]",544.5999999999999,83.5,18.68,15.1,4.05,1535.22
